x0000,y0000,x0001,y0001
3.912736712,-132.125271,3.912736712,-98.92057126,
3.913979329,-131.2932372,3.913979329,-97.07143186,
3.915218402,-127.6576934,3.915218402,-113.6737983,
3.916453949,-120.6767476,3.916453949,-97.12401318,
3.91768599,-127.0850404,3.91768599,-110.5977582,
3.918914547,-138.0768278,3.918914547,-99.85964541,
3.920139638,-140.2201859,3.920139638,-103.7301225,
3.921361283,-159.2336221,3.921361283,-127.0088991,
3.922579501,-166.2448388,3.922579501,-111.8063174,
3.923794312,-140.9737998,3.923794312,-102.0829008,
3.925005734,-135.6648524,3.925005734,-101.3799743,
3.926213786,-136.4380018,3.926213786,-107.2634262,
3.927418487,-142.098167,3.927418487,-118.5061352,
3.928619856,-132.1156149,3.928619856,-99.56766389,
3.92981791,-129.1582647,3.92981791,-97.99674574,
3.931012669,-135.3507684,3.931012669,-107.1983486,
3.93220415,-139.7463898,3.93220415,-125.3006833,
3.93339237,-145.753096,3.93339237,-111.9638209,
3.934577349,-143.6166382,3.934577349,-107.090067,
3.935759104,-139.956452,3.935759104,-114.767661,
3.936937651,-147.1782883,3.936937651,-116.0691708,
3.938113009,-133.3988809,3.938113009,-101.45116,
3.939285195,-128.7298206,3.939285195,-94.34967638,
3.940454225,-132.7622865,3.940454225,-96.96287607,
3.941620117,-144.8810257,3.941620117,-110.0696782,
3.942782887,-144.632788,3.942782887,-112.3542588,
3.943942553,-135.2247574,3.943942553,-103.1106449,
3.94509913,-135.5839335,3.94509913,-102.7701159,
3.946252635,-143.4577766,3.946252635,-109.295667,
3.947403085,-141.008589,3.947403085,-109.111072,
3.948550495,-135.1128381,3.948550495,-102.0963064,
3.949694882,-134.9754254,3.949694882,-101.4854336,
3.950836261,-134.5527993,3.950836261,-109.6664709,
3.951974648,-141.7384089,3.951974648,-114.7393871,
3.953110059,-131.2459828,3.953110059,-100.7549443,
3.954242509,-126.0130359,3.954242509,-95.88026714,
3.955372015,-129.6488126,3.955372015,-100.443824,
3.95649859,-136.3603363,3.95649859,-113.7433102,
3.95762225,-134.1350637,3.95762225,-105.8400974,
3.958743011,-130.6649213,3.958743011,-99.94274991,
3.959860886,-131.8562083,3.959860886,-102.598547,
3.960975892,-135.5391679,3.960975892,-112.8577314,
3.962088042,-133.3707825,3.962088042,-103.0216667,
3.963197352,-127.3440583,3.963197352,-94.61372284,
3.964303835,-127.4044192,3.964303835,-94.34540451,
